                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2541,                  2.662,                 1.8819,                 1.5055,                0.15741,                  0.172,                 0.0794,                0.03177,                0.16718,                   0.06,                0.03825,                0.01321,                 2.3318,                  8.276,                  6.218,                 2.4006,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.3636,                 2.5721,                 1.9176,                 1.5128,                0.12387,                  0.188,                0.05932,                0.02375,                0.09651,                  0.056,                0.02821,                0.00948,                 2.3469,                 8.3197,                 5.1057,                  2.384,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.3081,                 2.5396,                 1.8905,                 1.4694,                0.20037,                   0.24,                0.09815,                0.03629,                0.17546,                  0.112,                0.04108,                0.01182,                 2.2127,                 5.8568,                 5.8593,                 2.3688,               0.001835,               0.001835,               0.001835
                     27,                 1.2147,                 2.3571,                 1.7413,                 1.3957,                0.13551,                  0.236,                0.06982,                0.02202,                0.08099,                  0.088,                0.02169,                0.00608,                 2.2994,                 5.8966,                 7.4906,                 2.4215,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.2889,                 2.6181,                 1.7977,                 1.4879,                 0.1203,                  0.192,                0.05271,                0.02019,                0.05147,                  0.072,                0.01398,                0.00552,                 2.1907,                 6.0446,                 5.8224,                  2.281,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.3208,                 2.5707,                    1.8,                 1.4764,                0.14567,                  0.152,                0.06346,                 0.0228,                 0.0586,                  0.092,                 0.0214,                0.00854,                 2.2102,                 5.3823,                 4.6504,                 2.2772,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.3604,                  2.508,                  1.826,                 1.5352,                0.20626,                   0.18,                 0.1095,                0.03745,                 0.1253,                   0.12,                0.04747,                0.01838,                 2.1753,                 4.7479,                 4.1634,                 2.2438,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.2616,                 2.4636,                 1.8768,                 1.4467,                0.27622,                   0.14,                0.10274,                0.03717,                0.21717,                    0.1,                0.06137,                0.02393,                 2.1424,                  5.047,                 4.1765,                 2.1846,               0.001802,               0.001802,               0.001802
                     32,                 1.2365,                 2.5043,                 1.7894,                 1.4662,                0.12415,                  0.212,                0.07421,                 0.0256,                0.07761,                  0.104,                0.03297,                0.01208,                  2.217,                 5.1411,                 4.9416,                 2.2473,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.2977,                 2.4051,                 1.7977,                 1.4936,                0.13085,                  0.212,                0.08227,                 0.0276,                0.08231,                  0.116,                0.03865,                0.01307,                 2.2487,                 4.8815,                 4.5943,                 2.2638,              0.0017888,              0.0017888,              0.0017888
