                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.98103,                 1.7924,                 1.1147,                 1.2385,                0.41203,                  0.296,                0.22193,                0.09385,                0.27566,                  0.216,                0.14613,                0.05211,                 2.1209,                 4.0528,                 3.2661,                 2.0868,              0.0013334,              0.0013334,              0.0013334
                    103,                0.91347,                 1.7572,                  1.275,                 1.2256,                0.40341,                   0.28,                0.19595,                0.08352,                0.30061,                0.20632,                0.13927,                 0.0512,                 2.0776,                 4.0895,                  3.306,                 2.0501,              0.0013268,              0.0013268,              0.0013268
                    104,                0.97724,                 1.8564,                  1.107,                 1.2425,                0.39238,                  0.296,                0.22169,                0.10328,                0.36832,                   0.28,                0.21403,                0.09832,                 1.9826,                 3.8342,                 2.9003,                 1.9678,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.0621,                 2.0202,                 1.2155,                 1.3092,                0.34848,                   0.24,                0.16726,                0.08116,                0.40492,                  0.224,                0.18552,                0.08052,                 2.0351,                 3.9701,                 3.4281,                 2.0831,              0.0013136,              0.0013136,              0.0013136
                    106,                0.91558,                 1.7303,                 1.0823,                 1.2027,                0.33668,                0.20709,                0.15222,                0.07236,                0.39644,                0.19968,                0.16016,                 0.0689,                 2.0857,                 4.0324,                 3.7435,                 2.0859,               0.001307,               0.001307,               0.001307
                    107,                0.99396,                 1.9981,                 1.1068,                 1.2576,                 0.3857,                0.24613,                0.18714,                0.08314,                0.33716,                   0.24,                0.18432,                0.07667,                 2.0358,                 3.8267,                 3.5502,                 2.0541,              0.0013004,              0.0013004,              0.0013004
                    108,                0.96778,                 1.9799,                  1.101,                 1.2218,                0.43589,                  0.288,                0.22946,                0.09659,                0.38791,                  0.256,                0.19966,                0.08018,                 2.1572,                 3.9679,                 3.3053,                 2.1302,              0.0012938,              0.0012938,              0.0012938
                    109,                0.94478,                 1.8372,                 1.0966,                 1.2104,                0.44539,                  0.288,                0.22971,                0.09542,                0.41303,                  0.272,                0.20206,                0.08223,                 2.1534,                 3.8359,                 3.2836,                  2.156,              0.0012872,              0.0012872,              0.0012872
                    110,                0.88937,                  1.786,                 1.0167,                 1.2239,                0.45524,                  0.284,                0.23144,                0.09371,                0.36374,                  0.284,                0.21071,                0.09035,                 2.0229,                 3.6153,                 3.0671,                 2.0925,              0.0012806,              0.0012806,              0.0012806
                    111,                0.80512,                 1.7733,                0.97801,                 1.1655,                0.49864,                  0.268,                0.22886,                0.09269,                0.41626,                  0.244,                0.19991,                 0.0956,                 1.9822,                 3.5766,                 3.2437,                 2.0774,               0.001274,               0.001274,               0.001274
                    112,                0.86754,                 1.6903,                 1.0277,                 1.2008,                0.39742,                   0.28,                0.21712,                0.09395,                0.39562,                  0.276,                0.19885,                0.09029,                 1.9707,                 3.8376,                  3.327,                 2.0772,              0.0012674,              0.0012674,              0.0012674
                    113,                0.88059,                  1.806,                0.95553,                 1.1602,                0.42813,                  0.284,                0.23518,                0.09486,                0.40913,                  0.272,                0.20856,                0.09236,                 1.9208,                  3.751,                 3.0236,                  1.987,              0.0012608,              0.0012608,              0.0012608
                    114,                0.80419,                 1.5981,                0.90901,                  1.151,                 0.4215,                  0.228,                0.20295,                0.08796,                0.46146,                  0.208,                0.17942,                0.07811,                 1.9457,                 3.6934,                 3.1082,                 1.9579,              0.0012542,              0.0012542,              0.0012542
                    115,                0.90021,                 1.7991,                 1.0932,                 1.1763,                 0.4091,                  0.244,                0.20176,                0.08262,                0.39765,                  0.228,                 0.1821,                0.07746,                 1.9519,                 3.7332,                 3.1469,                 1.9552,              0.0012476,              0.0012476,              0.0012476
                    116,                0.94074,                 1.9646,                 1.0543,                 1.2038,                0.38169,                  0.216,                0.17616,                0.07638,                0.41039,                0.21439,                0.16868,                0.06949,                 2.0478,                 3.7625,                 3.3388,                 2.0523,               0.001241,               0.001241,               0.001241
                    117,                0.93382,                  1.955,                 1.0648,                 1.2094,                0.35156,                  0.216,                 0.1435,                0.06275,                0.30335,                  0.196,                0.12395,                0.04934,                 2.1139,                 3.9381,                 3.8577,                 2.1067,              0.0012344,              0.0012344,              0.0012344
                    118,                 1.0397,                  1.934,                 1.1409,                 1.2575,                0.39135,                  0.244,                 0.1629,                0.06826,                0.34157,                  0.208,                0.13688,                0.05876,                 2.0764,                 4.0225,                 3.7773,                 2.1199,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.0511,                 1.9318,                 1.1874,                  1.282,                0.36138,                   0.26,                0.19991,                0.08498,                0.34542,                0.24908,                 0.1794,                0.07511,                 2.0265,                  4.004,                 3.4625,                 2.0668,              0.0012212,              0.0012212,              0.0012212
                    120,                0.87812,                 1.6554,                0.98334,                 1.2042,                0.37664,                  0.192,                 0.1504,                0.06995,                0.26883,                  0.204,                0.12578,                0.05534,                  1.978,                 4.1125,                 3.7738,                 2.0079,              0.0012146,              0.0012146,              0.0012146
                    121,                 0.8688,                 1.7611,                0.95968,                 1.1774,                0.32458,                  0.224,                0.16098,                0.07871,                0.31507,                  0.216,                0.15688,                0.06503,                 1.9938,                 4.0618,                 3.5359,                 1.9996,               0.001208,               0.001208,               0.001208
                    122,                0.83324,                 1.7335,                0.95105,                 1.1599,                0.34443,                 0.2648,                0.21137,                0.09511,                0.35137,                  0.256,                0.19437,                0.08522,                 1.9639,                  3.817,                 3.2036,                 1.9597,              0.0012014,              0.0012014,              0.0012014
                    123,                0.85242,                 1.7189,                 1.0508,                 1.1762,                  0.393,                  0.324,                0.26675,                  0.114,                 0.3638,                  0.296,                0.22759,                0.10317,                 1.9964,                 3.7547,                 2.9038,                  1.978,              0.0011948,              0.0011948,              0.0011948
                    124,                0.90372,                 1.5945,                 0.9611,                 1.2153,                0.45654,                  0.288,                0.25208,                0.10752,                0.42484,                  0.268,                0.22863,                 0.1013,                 2.0804,                 3.8358,                 2.8074,                 2.0621,              0.0011882,              0.0011882,              0.0011882
                    125,                0.91527,                 1.7253,                0.99312,                 1.1952,                0.39346,                0.33474,                0.24539,                0.10842,                0.37947,                  0.292,                0.22624,                 0.1019,                 2.0464,                 3.8534,                 2.7109,                 2.0306,              0.0011816,              0.0011816,              0.0011816
                    126,                0.91694,                 1.7305,                0.99972,                 1.1516,                0.48396,                0.29636,                0.26684,                0.11798,                 0.4464,                  0.284,                0.22532,                0.09976,                 2.0334,                 3.8259,                 2.7095,                 2.0241,               0.001175,               0.001175,               0.001175
                    127,                0.79298,                 1.5904,                0.88163,                 1.0942,                0.50545,                  0.276,                0.27232,                 0.1177,                0.49522,                0.28255,                0.23633,                0.10129,                 1.9679,                 3.8434,                 2.8301,                 1.9389,              0.0011684,              0.0011684,              0.0011684
                    128,                0.86929,                 1.7387,                0.97456,                 1.1736,                0.51249,                  0.264,                 0.2374,                0.10419,                 0.4892,                  0.252,                0.21554,                0.09443,                 1.9575,                 3.9484,                 3.0998,                  1.972,              0.0011618,              0.0011618,              0.0011618
                    129,                0.81524,                  1.508,                0.84604,                  1.086,                0.43986,                  0.288,                0.24598,                0.10747,                0.41722,                  0.268,                0.20602,                0.09423,                 1.9579,                 4.1262,                  3.171,                 1.9998,              0.0011552,              0.0011552,              0.0011552
                    130,                0.81248,                 1.6469,                0.93837,                 1.1478,                0.44849,                   0.26,                0.20044,                0.09477,                0.39918,                  0.248,                0.16837,                0.07823,                 1.9513,                 4.3429,                 3.4544,                 2.0493,              0.0011486,              0.0011486,              0.0011486
                    131,                0.80779,                 1.6184,                 0.9217,                 1.1093,                0.41954,                  0.264,                0.19798,                 0.0923,                0.49798,                  0.212,                0.16671,                0.07697,                 1.9442,                 4.1945,                 3.4621,                  2.047,               0.001142,               0.001142,               0.001142
                    132,                0.82096,                 1.5062,                0.88493,                 1.1407,                  0.461,                  0.248,                0.20002,                 0.0921,                0.42955,                   0.24,                0.17476,                0.08168,                 1.8846,                 4.0193,                 3.5568,                 1.9403,              0.0011354,              0.0011354,              0.0011354
                    133,                0.83056,                 1.6327,                0.98425,                 1.1756,                0.49978,                  0.236,                0.19063,                0.09607,                0.51635,                  0.232,                0.18553,                 0.0891,                 1.8748,                  3.972,                 3.5349,                 1.9444,              0.0011288,              0.0011288,              0.0011288
                    134,                0.86075,                 1.8255,                0.95587,                 1.1613,                0.36828,                   0.22,                0.19053,                0.09938,                0.39683,                  0.252,                0.20712,                0.10608,                 1.8805,                 3.7475,                 3.3358,                 1.9659,              0.0011222,              0.0011222,              0.0011222
                    135,                0.84419,                 1.5598,                0.98658,                 1.1561,                0.35603,                0.26759,                 0.2126,                0.10701,                0.38413,                  0.268,                0.22427,                0.11563,                 1.9078,                 3.6914,                 3.1517,                 1.9695,              0.0011156,              0.0011156,              0.0011156
                    136,                0.93967,                 1.8935,                0.97566,                 1.2449,                0.41773,                  0.324,                0.26178,                0.12346,                0.43677,                 0.3071,                 0.2541,                0.12335,                 2.0281,                 3.7366,                 2.7495,                 2.0718,               0.001109,               0.001109,               0.001109
                    137,                0.83671,                 1.6135,                0.87343,                 1.1765,                0.47558,                  0.316,                0.26795,                0.12247,                0.41292,                   0.32,                0.25943,                0.12397,                 2.0489,                 3.7307,                 2.7038,                 2.0901,              0.0011024,              0.0011024,              0.0011024
                    138,                0.87085,                 1.7831,                0.94488,                 1.1832,                0.43437,                  0.252,                0.22562,                0.11603,                0.42716,                  0.236,                0.20766,                0.10652,                 1.9919,                 3.9384,                  3.372,                 2.0324,              0.0010958,              0.0010958,              0.0010958
                    139,                0.93026,                   1.62,                0.97542,                 1.1595,                0.46038,                  0.248,                0.23803,                0.11668,                0.43169,                  0.244,                0.22422,                 0.1076,                 2.0311,                 4.1729,                 3.3551,                 2.0424,              0.0010892,              0.0010892,              0.0010892
                    140,                0.88434,                 1.8369,                0.95698,                 1.1899,                 0.3649,                  0.284,                0.23956,                0.11903,                0.45166,                  0.232,                0.21056,                0.10729,                 2.0684,                 4.3384,                 3.4549,                 2.0116,              0.0010826,              0.0010826,              0.0010826
                    141,                0.99337,                 1.7625,                  1.028,                 1.2433,                0.38371,                   0.28,                0.23943,                0.12162,                0.45902,                  0.224,                0.21007,                0.10774,                 2.0719,                 4.4714,                 3.4422,                 2.0132,               0.001076,               0.001076,               0.001076
                    142,                0.86017,                 1.6962,                0.98329,                 1.1351,                0.48739,                  0.252,                0.24198,                0.12581,                0.41271,                  0.256,                0.22096,                0.11329,                 1.9713,                  4.598,                 3.4734,                 1.9573,              0.0010694,              0.0010694,              0.0010694
                    143,                 0.9103,                 1.6352,                0.97315,                 1.1814,                0.48274,                  0.276,                0.23429,                0.12466,                0.44709,                 0.2717,                0.22025,                0.11108,                 1.9459,                 4.3229,                 3.4352,                 1.9522,              0.0010628,              0.0010628,              0.0010628
                    144,                0.76553,                 1.6081,                0.85487,                 1.1268,                  0.437,                  0.324,                0.23959,                0.12057,                 0.4154,                  0.304,                0.22601,                  0.107,                 1.9701,                 3.8968,                 3.0901,                 1.9358,              0.0010562,              0.0010562,              0.0010562
                    145,                0.76363,                 1.5084,                0.90715,                 1.1397,                0.41291,                  0.356,                 0.2399,                0.11635,                0.42509,                  0.312,                0.23335,                 0.1029,                 1.9902,                 3.8769,                 2.9662,                 1.9378,              0.0010496,              0.0010496,              0.0010496
                    146,                0.80872,                 1.4816,                0.91212,                 1.1309,                0.38426,                  0.348,                0.24685,                0.12051,                0.40295,                  0.312,                0.24746,                0.10872,                 2.0157,                 3.9313,                 2.7756,                 1.9621,               0.001043,               0.001043,               0.001043
                    147,                0.85406,                 1.6392,                 1.0207,                  1.149,                0.48672,                  0.276,                0.24543,                0.11947,                0.49377,                   0.28,                0.24796,                0.10816,                 1.9881,                 3.9813,                  2.841,                 1.9221,              0.0010364,              0.0010364,              0.0010364
                    148,                0.88094,                 1.6696,                0.92219,                 1.1416,                0.50549,                  0.264,                0.24586,                0.11311,                0.52493,                  0.268,                0.25061,                0.11047,                  1.908,                 3.8945,                 3.1044,                 1.8217,              0.0010298,              0.0010298,              0.0010298
                    149,                0.82499,                 1.6197,                0.92555,                 1.1385,                0.45142,                0.24028,                0.20209,                0.09681,                0.48058,                   0.26,                0.20931,                0.09458,                 1.9582,                 3.7873,                 3.3505,                 1.8777,              0.0010232,              0.0010232,              0.0010232
                    150,                0.85483,                 1.7142,                 0.9176,                 1.1439,                0.49929,                   0.28,                0.23643,                0.11073,                0.47946,                  0.268,                0.22504,                 0.1037,                 1.9119,                  3.709,                 3.1047,                 1.8297,              0.0010166,              0.0010166,              0.0010166
                    151,                0.81384,                 1.4751,                0.83874,                 1.1294,                0.47104,                  0.284,                0.24635,                0.11988,                0.47811,                  0.284,                0.23112,                0.10939,                 1.8898,                 3.7378,                 2.9019,                 1.8197,                0.00101,                0.00101,                0.00101
                    152,                0.78113,                 1.4529,                0.87756,                 1.1643,                0.41647,                  0.292,                0.24724,                0.11847,                0.48675,                  0.256,                0.22574,                 0.1067,                 1.9535,                 3.8189,                 2.9187,                 1.8916,              0.0010034,              0.0010034,              0.0010034
                    153,                 0.8214,                 1.5178,                0.89598,                 1.1724,                0.55427,                   0.24,                0.21329,                0.10937,                0.53836,                  0.224,                0.19979,                0.09688,                 2.0521,                 3.9367,                 3.4426,                 1.9906,              0.0009968,              0.0009968,              0.0009968
                    154,                0.80252,                  1.626,                0.83177,                 1.1331,                0.36817,                   0.26,                0.19834,                0.10602,                0.49619,                  0.228,                0.18541,                0.09663,                  2.069,                 4.0544,                 3.6038,                 2.0588,              0.0009902,              0.0009902,              0.0009902
                    155,                0.81811,                 1.5037,                0.85217,                 1.1064,                0.41177,                  0.236,                0.16795,                0.08803,                0.46429,                0.21148,                0.16212,                0.08179,                 2.0534,                  4.036,                 3.5737,                 2.0221,              0.0009836,              0.0009836,              0.0009836
                    156,                0.79736,                   1.47,                0.88463,                 1.1517,                0.47362,                  0.228,                0.19394,                0.09276,                0.43812,                  0.228,                0.18439,                   0.08,                  1.928,                 4.0017,                 3.6264,                 1.9607,               0.000977,               0.000977,               0.000977
                    157,                0.76195,                 1.4847,                0.84709,                 1.1148,                0.46481,                  0.228,                0.20205,                0.09899,                0.47297,                  0.232,                0.19886,                0.08993,                 1.9336,                 4.0174,                 3.3234,                 1.9672,              0.0009704,              0.0009704,              0.0009704
                    158,                0.81874,                 1.7002,                  0.853,                   1.16,                0.45678,                   0.28,                0.22207,                0.10991,                0.47633,                0.27288,                0.23242,                0.10624,                 1.9509,                 4.0108,                 3.2407,                 1.9683,              0.0009638,              0.0009638,              0.0009638
                    159,                0.82198,                 1.5183,                0.89777,                  1.183,                0.45794,                   0.28,                0.22479,                0.11162,                0.45794,                   0.28,                0.23407,                  0.108,                 1.9396,                 4.0066,                  3.188,                 1.9739,              0.0009572,              0.0009572,              0.0009572
                    160,                0.84428,                  1.654,                0.87194,                 1.1635,                 0.4008,                  0.292,                0.23505,                0.11547,                0.46472,                   0.28,                0.22915,                0.10796,                 2.0031,                 3.9852,                 3.0707,                 2.0446,              0.0009506,              0.0009506,              0.0009506
                    161,                0.76017,                 1.5427,                0.82442,                 1.1342,                0.38354,                0.33099,                0.23425,                0.11747,                0.46511,                   0.26,                 0.2209,                0.10845,                 2.0182,                 3.9785,                 3.0599,                 2.0598,               0.000944,               0.000944,               0.000944
                    162,                0.77465,                 1.5642,                0.82243,                 1.0979,                0.48107,                 0.3152,                0.24408,                0.12385,                0.44532,                  0.288,                0.22116,                0.11204,                 2.0301,                 3.9566,                 3.0859,                 2.0672,              0.0009374,              0.0009374,              0.0009374
                    163,                0.73162,                 1.3895,                 0.7915,                 1.1039,                0.49521,                  0.296,                0.23911,                 0.1236,                0.50499,                  0.288,                0.22189,                0.11472,                 2.0158,                 3.9058,                 3.1205,                 2.0772,              0.0009308,              0.0009308,              0.0009308
                    164,                0.76081,                 1.5752,                 0.7796,                 1.1297,                0.56222,                  0.236,                0.21997,                0.10112,                0.52731,                  0.224,                0.19272,                0.09713,                 1.9523,                 3.8301,                 3.3422,                  2.033,              0.0009242,              0.0009242,              0.0009242
                    165,                 0.7738,                 1.4918,                0.77791,                 1.0943,                0.48552,                  0.244,                0.20968,                0.09913,                0.44498,                   0.24,                0.19383,                 0.0964,                 1.9471,                 3.8117,                  3.421,                 2.0274,              0.0009176,              0.0009176,              0.0009176
                    166,                0.74845,                 1.4556,                0.77444,                 1.0569,                0.39026,                  0.252,                0.20414,                0.10322,                0.37913,                  0.232,                 0.1899,                0.10016,                 1.9813,                   3.99,                 3.6385,                 2.0505,               0.000911,               0.000911,               0.000911
                    167,                0.65998,                 1.2987,                0.71775,                 1.0269,                0.38852,                   0.26,                 0.2013,                0.09952,                 0.5099,                  0.188,                0.17957,                0.09655,                 2.0286,                  4.181,                  3.829,                 2.0934,              0.0009044,              0.0009044,              0.0009044
                    168,                0.77704,                 1.4122,                0.76421,                 1.1064,                0.44296,                  0.272,                0.22841,                0.11704,                0.40726,                  0.232,                 0.2018,                0.10993,                 1.9754,                 4.2397,                 3.6666,                 2.0696,              0.0008978,              0.0008978,              0.0008978
                    169,                 0.7681,                 1.5703,                0.81493,                 1.1232,                 0.4138,                0.27389,                0.22797,                0.12623,                0.41648,                  0.268,                0.22126,                0.12042,                 1.9498,                 4.2786,                 3.6027,                 1.9936,              0.0008912,              0.0008912,              0.0008912
                    170,                0.75978,                 1.4806,                0.74953,                  1.114,                0.42798,                  0.248,                0.21806,                0.11117,                0.42352,                   0.26,                0.20434,                 0.1039,                 1.9967,                 4.5078,                 3.7034,                 1.9972,              0.0008846,              0.0008846,              0.0008846
                    171,                0.73713,                 1.5022,                0.79024,                 1.0877,                0.43366,                  0.272,                  0.211,                0.10516,                0.44074,                  0.232,                0.19438,                0.09813,                 1.9869,                 4.4125,                 3.7938,                 2.0089,               0.000878,               0.000878,               0.000878
                    172,                0.74899,                 1.4928,                0.74343,                 1.0776,                0.41247,                0.23308,                0.19238,                0.09554,                0.44471,                  0.224,                0.19322,                0.09795,                 1.9699,                  4.075,                 3.7759,                 2.0819,              0.0008714,              0.0008714,              0.0008714
                    173,                0.74501,                 1.4028,                0.79351,                 1.0964,                0.35438,                  0.204,                0.15738,                0.07303,                0.45664,                   0.18,                0.15104,                0.07099,                 2.0789,                 4.0674,                 3.9963,                 2.1289,              0.0008648,              0.0008648,              0.0008648
                    174,                0.71346,                 1.4482,                0.76206,                 1.0771,                0.31939,                  0.236,                0.14941,                0.06943,                0.32339,                  0.216,                0.14711,                0.06349,                 2.0088,                 3.9885,                 3.9325,                 2.1163,              0.0008582,              0.0008582,              0.0008582
                    175,                0.70766,                 1.4917,                0.70667,                 1.0813,                0.42665,                  0.208,                 0.1669,                0.07972,                0.44421,                0.19182,                0.15466,                0.07325,                 1.9923,                 4.0048,                 3.8067,                 2.1489,              0.0008516,              0.0008516,              0.0008516
                    176,                0.70742,                 1.5602,                0.70531,                 1.0824,                0.39307,                  0.224,                0.17928,                 0.0894,                0.48853,                   0.18,                0.15705,                0.08277,                 1.9283,                 3.9446,                 3.7117,                 2.0385,               0.000845,               0.000845,               0.000845
                    177,                0.74758,                 1.4455,                0.77317,                  1.144,                0.38436,                0.22976,                0.19048,                0.09283,                0.54316,                  0.184,                0.17878,                0.09391,                 1.9158,                 3.8992,                 3.6413,                 2.0114,              0.0008384,              0.0008384,              0.0008384
                    178,                0.69562,                 1.5323,                 0.7206,                 1.1015,                0.52257,                   0.24,                0.22885,                0.12419,                0.51386,                  0.236,                0.21519,                0.11553,                 1.9105,                 3.7771,                 3.4567,                 1.9807,              0.0008318,              0.0008318,              0.0008318
                    179,                0.66612,                 1.3187,                0.70984,                 1.0339,                 0.4561,                0.26164,                0.22256,                0.11898,                0.47323,                0.24795,                0.21303,                0.11258,                 1.9124,                 3.7304,                 3.5752,                 1.9785,              0.0008252,              0.0008252,              0.0008252
                    180,                0.69879,                 1.4782,                0.70515,                 1.0756,                0.46468,                0.21875,                0.20355,                  0.109,                0.48234,                   0.22,                0.19921,                0.10697,                 1.9084,                 3.7935,                 3.7222,                 1.9942,              0.0008186,              0.0008186,              0.0008186
                    181,                0.71249,                 1.3766,                 0.7069,                 1.0808,                0.49093,                   0.22,                0.19951,                0.10619,                0.53444,                  0.228,                0.20354,                0.10703,                 1.9232,                 3.8735,                 3.6592,                  2.016,               0.000812,               0.000812,               0.000812
                    182,                0.77142,                 1.6058,                 0.8333,                 1.1262,                0.51018,                  0.224,                0.21516,                0.10494,                0.50107,                   0.22,                0.20538,                0.10633,                 1.9562,                 3.9467,                 3.4475,                 2.0449,              0.0008054,              0.0008054,              0.0008054
                    183,                0.73485,                 1.4507,                 0.7765,                  1.071,                0.37824,                  0.272,                0.20967,                0.10179,                0.36481,                  0.248,                0.19624,                0.09498,                 1.9874,                 3.9788,                 3.4855,                 2.0658,              0.0007988,              0.0007988,              0.0007988
                    184,                0.73727,                 1.5268,                0.79129,                 1.0893,                0.33437,                  0.288,                  0.216,                0.10814,                0.33949,                  0.292,                0.21148,                0.10254,                 1.9228,                 3.9622,                 3.3875,                 2.0185,              0.0007922,              0.0007922,              0.0007922
                    185,                0.76739,                  1.494,                0.85878,                 1.1519,                0.38993,                  0.296,                0.23884,                0.12237,                0.41176,                  0.284,                0.24047,                0.11895,                 1.8924,                 3.8724,                 3.2152,                 1.9867,              0.0007856,              0.0007856,              0.0007856
                    186,                0.69888,                  1.321,                0.68461,                 1.0669,                0.40765,                  0.288,                0.24136,                0.11901,                0.42701,                  0.268,                0.22663,                0.11246,                 1.9306,                 3.9473,                 3.4133,                 2.0472,               0.000779,               0.000779,               0.000779
                    187,                0.71784,                 1.3505,                0.71932,                 1.0737,                0.42782,                  0.244,                0.19369,                0.09228,                0.41482,                  0.236,                0.17867,                0.08531,                  2.059,                 4.1319,                   3.74,                 2.1146,              0.0007724,              0.0007724,              0.0007724
                    188,                  0.717,                 1.4584,                0.78754,                 1.0737,                 0.3804,                  0.232,                0.19169,                0.09153,                0.37395,                   0.22,                0.16364,                0.08045,                 2.0967,                 4.3238,                  3.806,                 2.1375,              0.0007658,              0.0007658,              0.0007658
                    189,                0.67791,                 1.4424,                0.69224,                 1.0773,                0.43776,                  0.248,                0.21491,                0.10562,                0.38829,                  0.224,                0.18438,                0.09044,                 1.9687,                 4.2127,                 3.6062,                 2.0155,              0.0007592,              0.0007592,              0.0007592
                    190,                0.72875,                 1.4134,                0.80352,                 1.1061,                0.47076,                  0.252,                0.24703,                0.12655,                0.50217,                   0.24,                0.23142,                0.11738,                 1.8737,                 4.1166,                 3.2545,                 1.8853,              0.0007526,              0.0007526,              0.0007526
                    191,                0.77533,                 1.3963,                0.74688,                 1.1285,                0.47411,                  0.268,                 0.2557,                0.12712,                0.55475,                  0.236,                0.23809,                0.11587,                 1.8604,                 4.1563,                 3.1315,                 1.8772,               0.000746,               0.000746,               0.000746
                    192,                0.70149,                 1.4431,                 0.6964,                 1.0505,                0.39807,                  0.268,                0.24261,                0.11353,                0.39999,                   0.26,                0.22554,                0.10389,                 1.9045,                 4.0958,                 3.0858,                  1.902,              0.0007394,              0.0007394,              0.0007394
                    193,                0.70222,                 1.4407,                0.74464,                 1.0962,                 0.4303,                  0.256,                 0.2327,                0.10935,                0.41502,                  0.244,                0.20972,                 0.0997,                 1.9375,                 4.0377,                 3.1249,                 1.9206,              0.0007328,              0.0007328,              0.0007328
                    194,                0.68386,                  1.305,                0.71777,                 1.0343,                0.36132,                  0.284,                0.21598,                0.09981,                0.36722,                  0.268,                0.21204,                0.09688,                 1.9228,                 4.0022,                 3.0969,                 1.9376,              0.0007262,              0.0007262,              0.0007262
                    195,                0.66573,                 1.3789,                0.72784,                  1.058,                0.31551,                    0.3,                0.21274,                0.10341,                0.34675,                0.27602,                0.21061,                0.09761,                 1.9416,                 3.9872,                  3.052,                 1.9444,              0.0007196,              0.0007196,              0.0007196
                    196,                0.62452,                 1.2775,                0.63391,                 1.0251,                0.38722,                0.24013,                0.21348,                0.10104,                0.30147,                  0.236,                0.19361,                 0.0923,                 1.9529,                  3.982,                 3.2687,                 1.9769,               0.000713,               0.000713,               0.000713
                    197,                0.67292,                 1.2857,                0.65313,                 1.0375,                0.35537,                   0.24,                0.20847,                 0.1014,                0.58271,                  0.184,                0.19508,                0.09288,                 1.9197,                  3.933,                 3.3518,                  1.935,              0.0007064,              0.0007064,              0.0007064
                    198,                0.65862,                 1.4652,                0.67696,                 1.0621,                0.40117,                  0.232,                0.17578,                0.08395,                 0.3739,                  0.216,                0.15601,                0.07291,                  1.973,                 4.0037,                 3.7322,                 2.0015,              0.0006998,              0.0006998,              0.0006998
                    199,                0.75918,                 1.3645,                0.75118,                 1.1056,                 0.3937,                  0.228,                0.16134,                0.07591,                0.36522,                  0.212,                0.14263,                0.06623,                 2.0207,                 3.9996,                 3.8324,                 2.0432,              0.0006932,              0.0006932,              0.0006932
                    200,                0.66463,                 1.3399,                0.70573,                 1.0449,                0.45604,                  0.248,                0.20891,                0.08928,                0.46584,                  0.228,                0.18961,                0.08457,                 1.9548,                 3.7661,                 3.6217,                 1.9797,              0.0006866,              0.0006866,              0.0006866
                    201,                0.69574,                 1.3005,                0.68148,                 1.0722,                0.44855,                  0.232,                0.20219,                0.09527,                0.44276,                  0.252,                0.19308,                0.08851,                 1.9731,                 3.6884,                 3.4633,                 1.9955,                0.00068,                0.00068,                0.00068
                    202,                0.64565,                 1.3341,                0.68308,                 1.0288,                0.38994,                  0.256,                0.19043,                0.08735,                0.41364,                   0.24,                0.17623,                0.07836,                 2.0106,                   3.77,                 3.6097,                 2.0457,              0.0006734,              0.0006734,              0.0006734
                    203,                0.74319,                 1.4081,                0.67168,                 1.0979,                0.38315,                   0.24,                0.17242,                0.07723,                0.43609,                0.25056,                0.17443,                0.06983,                 2.0423,                 3.8443,                 3.7415,                 2.0843,              0.0006668,              0.0006668,              0.0006668
                    204,                0.70499,                 1.3079,                0.68843,                 1.0611,                0.35349,                  0.228,                0.16119,                0.06388,                0.33904,                  0.216,                0.13906,                 0.0548,                 2.1374,                 3.9024,                 3.8646,                 2.1717,              0.0006602,              0.0006602,              0.0006602
                    205,                0.73006,                 1.5099,                 0.7724,                 1.0908,                0.37711,                  0.224,                0.15568,                0.07091,                0.38767,                  0.224,                0.15142,                 0.0632,                  2.093,                 3.8878,                  3.802,                 2.1366,              0.0006536,              0.0006536,              0.0006536
                    206,                0.72368,                  1.308,                0.67577,                 1.0823,                  0.454,                  0.232,                0.18495,                 0.0892,                0.47227,                   0.24,                0.18469,                0.08494,                 2.0456,                 3.7627,                 3.5584,                 2.1262,               0.000647,               0.000647,               0.000647
                    207,                0.72981,                 1.4448,                0.75512,                 1.0915,                0.34643,                  0.248,                0.18389,                0.09269,                0.45301,                  0.256,                0.19585,                0.08946,                  2.056,                 3.7925,                 3.5413,                 2.1378,              0.0006404,              0.0006404,              0.0006404
                    208,                0.66831,                 1.2779,                0.67906,                 1.0632,                 0.4284,                0.23085,                  0.177,                0.08944,                0.43609,                   0.22,                0.18422,                0.08185,                 2.1641,                  4.063,                 3.5608,                 2.2117,              0.0006338,              0.0006338,              0.0006338
                    209,                0.72324,                 1.3988,                0.69856,                 1.1084,                0.43584,                  0.228,                0.18278,                0.09315,                0.43821,                  0.216,                0.18969,                0.08578,                 2.1821,                 4.0735,                 3.4771,                 2.2112,              0.0006272,              0.0006272,              0.0006272
